"name"	"genename"	"pvalueSwitch"	"switch"	"timepoint"	"experiment"
"ENSDART00000168568.2"	"CU861477.1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168579.2"	"CABZ01066725.1"	0.139692349022842	"-1"	"4.5"	"MZspg"
"ENSDART00000168583.2"	"otud6b"	0.0812680775601503	"1"	"4.5"	"MZspg"
"ENSDART00000168589.2"	"ctsc"	0.0665482420581718	"1"	"4.5"	"MZspg"
"ENSDART00000168596.2"	"si:ch1073-268j14.1"	0.0516377421690786	"-1"	"4.0"	"MZspg"
"ENSDART00000168605.2"	"znf1063"	0.129258126955053	"1"	"4.5"	"MZspg"
"ENSDART00000168606.2"	"CABZ01081909.1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168627.2"	"zfyve9a"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168639.2"	"cry1ab"	0.0488983696129843	"-1"	"3.5"	"MZspg"
"ENSDART00000168641.2"	"CT030188.1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168646.3"	"slc10a7"	0.0980532976432368	"-1"	"4.5"	"MZspg"
"ENSDART00000168648.2"	"srfb"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168654.2"	"zgc:158320"	0.127101018054469	"-1"	"4.5"	"MZspg"
"ENSDART00000168658.3"	"irx3a"	0.0837704900473096	"1"	"4.5"	"MZspg"
"ENSDART00000168665.2"	"sh3bgrl3"	0.0495341662921998	"1"	"3.5"	"MZspg"
"ENSDART00000168672.2"	"srsf4"	0.107072017494712	"1"	"4.5"	"MZspg"
"ENSDART00000168683.2"	"lrrc8c"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168685.2"	"kif16ba"	0.146721237877136	"-1"	"3.5"	"MZspg"
"ENSDART00000168688.2"	"ndufc2"	0.13245623768059	"1"	"4.0"	"MZspg"
"ENSDART00000168692.2"	"znf1183"	0.110258449889413	"1"	"4.0"	"MZspg"
"ENSDART00000168712.2"	"si:ch73-299h12.6"	0.0889903358398743	"1"	"4.0"	"MZspg"
"ENSDART00000168722.2"	"paf1"	0.0600236152619893	"1"	"4.0"	"MZspg"
"ENSDART00000168755.2"	"tapbp.2"	0.131731537205545	"1"	"4.5"	"MZspg"
"ENSDART00000168768.2"	"adipor2"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168770.3"	"trappc10"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168778.3"	"stt3a"	0.0977634242488284	"1"	"4.0"	"MZspg"
"ENSDART00000168784.2"	"nsmce1"	0.148122366937479	"-1"	"5.0"	"MZspg"
"ENSDART00000168786.3"	"h1m"	0.0930157658811501	"-1"	"3.5"	"MZspg"
"ENSDART00000168799.3"	"ggps1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000168808.2"	"si:dkeyp-117b8.4"	0.11004813327103	"-1"	"4.0"	"MZspg"
"ENSDART00000168820.2"	"bmpr1ba"	0.0601659049239767	"-1"	"3.5"	"MZspg"
"ENSDART00000168830.2"	"bmper"	0.142747646872191	"1"	"5.0"	"MZspg"
"ENSDART00000168832.2"	"eri2"	NA	"0"	" NA"	"MZspg"
